feeperbyte=100
storageprice=10000
executionfeefactor=3
#accounts,tea,systemfee,networkfee
1,0.10000000,0.01846128,0.00121552
1,1.00000000,0.01846128,0.00121552
1,10.00000000,0.01846128,0.00121552
1,21.47483647,0.01846128,0.00121552
1,21.47483648,0.01856128,0.00121952
1,100.00000000,0.01856128,0.00121952
10,0.10000000,0.14944773,0.00146052
10,1.00000000,0.14944773,0.00146052
10,10.00000000,0.14944773,0.00146052
10,21.47483647,0.14944773,0.00146052
10,21.47483648,0.15044773,0.00150052
10,100.00000000,0.15044773,0.00150052
100,0.10000000,1.45931223,0.00389252
100,1.00000000,1.45931223,0.00389252
100,10.00000000,1.45931223,0.00389252
100,21.47483647,1.45931223,0.00389252
100,21.47483648,1.46931223,0.00429252
100,100.00000000,1.46931223,0.00429252
1000,0.10000000,14.55795723,0.02819452
1000,1.00000000,14.55795723,0.02819452
1000,10.00000000,14.55795723,0.02819452
1000,21.47483647,14.55795723,0.02819452
1000,21.47483648,14.65795723,0.03219452
1000,100.00000000,14.65795723,0.03219452
1012,0.10000000,14.73260583,0.02851852
1012,1.00000000,14.73260583,0.02851852
1012,10.00000000,14.73260583,0.02851852
1012,21.47483647,14.73260583,0.02851852
1012,21.47483648,14.83380583,0.03256652
1012,100.00000000,14.83380583,0.03256652
